City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,alice springs,-23.7,133.8833,35.75,13,91,7.2,AU,1696235273
1,zavoronezhskoye,52.8801,40.5526,12.88,88,100,3.13,RU,1696235520
2,saurimo,-9.6608,20.3916,32.21,36,88,0.99,AO,1696235520
3,portland,45.5234,-122.6762,13.12,84,40,0.45,US,1696234955
4,minas de marcona,-15.2119,-75.1103,13.37,92,88,4.09,PE,1696235520
5,lompoc,34.6391,-120.4579,12.74,87,0,2.06,US,1696235484
6,fale old settlement,-9.3852,-171.2468,27.56,80,100,2.92,TK,1696235520
7,ust-nera,64.5667,143.2,1.79,56,22,2.68,RU,1696235520
8,port-aux-francais,-49.35,70.2167,0.55,67,44,18.57,TF,1696235520
9,utrik,11.2278,169.8474,28.43,80,80,4.86,MH,1696235520
10,khanbari,27.3747,87.2039,27.1,76,99,2.23,NP,1696235520
11,semenivka,52.1783,32.5818,11.68,49,65,4.11,UA,1696235521
12,mitu,1.1983,-70.1733,23.24,92,92,1.04,CO,1696235521
13,borujen,31.9652,51.2873,23.58,18,71,4.03,IR,1696235521
14,talnakh,69.4865,88.3972,-5.44,88,94,4.26,RU,1696235521
15,salacgriva,57.7536,24.3581,14.26,77,72,4.48,LV,1696235521
16,grytviken,-54.2811,-36.5092,3.27,88,93,6.09,GS,1696235521
17,hermanus,-34.4187,19.2345,21.84,48,0,1.76,ZA,1696235521
18,viedma,-40.8135,-62.9967,15.43,43,100,6.27,AR,1696235521
19,puerto natales,-51.7236,-72.4875,-0.67,91,70,1.82,CL,1696235522
20,margaret river,-33.95,115.0667,13.06,49,89,9.16,AU,1696235522
21,la'ie,21.6477,-157.9253,26.98,78,50,2.68,US,1696235522
22,punta arenas,-53.15,-70.9167,-0.94,86,40,4.63,CL,1696235522
23,usakos,-22.0,15.6,34.74,7,0,3.45,NA,1696235522
24,porto seguro,-16.4497,-39.0647,20.29,94,0,1.03,BR,1696235522
25,invercargill,-46.4,168.35,6.68,68,87,5.81,NZ,1696235522
26,vadso,70.0744,29.7487,3.09,75,20,6.69,NO,1696235522
27,olonkinbyen,70.9221,-8.7187,1.05,99,100,7.67,SJ,1696235523
28,anastacio,-20.4836,-55.8069,24.66,69,44,1.58,BR,1696235363
29,adamstown,-25.066,-130.1015,20.23,78,24,11.18,PN,1696235523
30,navia,43.5354,-6.7194,23.99,53,2,2.09,ES,1696235523
31,bilibino,68.0546,166.4372,-1.14,98,100,1.04,RU,1696235523
32,albany,42.6001,-73.9662,15.91,94,58,0.45,US,1696235407
33,port elizabeth,-33.918,25.5701,22.83,67,0,7.2,ZA,1696235400
34,ak-suu,42.4995,78.527,15.71,37,100,2.3,KG,1696235523
35,sinfra,6.6167,-5.9167,23.64,91,96,1.89,CI,1696235524
36,mejit,10.2753,170.8646,28.29,80,65,4.5,MH,1696235524
37,hasaki,35.7333,140.8333,22.94,50,100,7.54,JP,1696235524
38,bethel,41.3712,-73.414,17.19,86,0,0.0,US,1696235524
39,waitangi,-43.9535,-176.5597,13.79,88,99,4.02,NZ,1696235524
